2020-02-15	0
2020-02-16	0
2020-02-17	0
2020-02-18	0
2020-02-19	0
2020-02-20	0
2020-02-21	0
2020-02-22	0
2020-02-23	0
2020-02-24	0
2020-02-25	0
2020-02-26	0
2020-02-27	0
2020-02-28	0
2020-02-29	0
2020-03-01	0
2020-03-02	0
2020-03-03	0
2020-03-04	0
2020-03-05	0
2020-03-06	0
2020-03-07	0
2020-03-08	0
2020-03-09	0
2020-03-10	1
2020-03-11	0
2020-03-12	0
2020-03-13	0
2020-03-14	0
2020-03-15	0
2020-03-16	0
2020-03-17	1
2020-03-18	0
2020-03-19	0
2020-03-20	1
2020-03-21	0
2020-03-22	1
2020-03-23	0
2020-03-24	1
2020-03-25	1
2020-03-26	5
2020-03-27	12
2020-03-28	2
2020-03-29	1
2020-03-30	7
2020-03-31	3
2020-04-01	3
2020-04-02	5
2020-04-03	4
2020-04-04	11
2020-04-05	11
2020-04-06	10
2020-04-07	10
2020-04-08	3
2020-04-09	4
2020-04-10	10
2020-04-11	4
2020-04-12	7
2020-04-13	8
2020-04-14	0
2020-04-15	1
2020-04-16	3
2020-04-17	5
2020-04-18	2
2020-04-19	4
2020-04-20	2
2020-04-21	2
2020-04-22	4
2020-04-23	6
2020-04-24	3
2020-04-25	1
2020-04-26	2
2020-04-27	1
2020-04-28	3
2020-04-29	3
2020-04-30	2
2020-05-01	1
2020-05-02	2
2020-05-03	1
2020-05-04	5
2020-05-05	2
2020-05-06	2
2020-05-07	0
2020-05-08	3
2020-05-09	0
2020-05-10	2
2020-05-11	0
2020-05-12	0
2020-05-13	0
2020-05-14	2
2020-05-15	0
2020-05-16	2
2020-05-17	0
2020-05-18	0
2020-05-19	1
2020-05-20	1
2020-05-21	2
2020-05-22	1
2020-05-23	1
2020-05-24	1
2020-05-25	1
2020-05-26	2
2020-05-27	0
2020-05-28	0
2020-05-29	0
2020-05-30	2
2020-05-31	1
2020-06-01	0
2020-06-02	1
2020-06-03	0
2020-06-04	2
2020-06-05	0
2020-06-06	0
2020-06-07	0
2020-06-08	0
2020-06-09	2
2020-06-10	1
2020-06-11	0
2020-06-12	1
2020-06-13	0
2020-06-14	0
2020-06-15	0
