2020-02-15	0
2020-02-16	0
2020-02-17	0
2020-02-18	0
2020-02-19	0
2020-02-20	0
2020-02-21	0
2020-02-22	0
2020-02-23	0
2020-02-24	0
2020-02-25	0
2020-02-26	0
2020-02-27	0
2020-02-28	0
2020-02-29	0
2020-03-01	0
2020-03-02	0
2020-03-03	0
2020-03-04	0
2020-03-05	0
2020-03-06	4
2020-03-07	1
2020-03-08	5
2020-03-09	6
2020-03-10	5
2020-03-11	9
2020-03-12	20
2020-03-13	17
2020-03-14	36
2020-03-15	21
2020-03-16	52
2020-03-17	61
2020-03-18	49
2020-03-19	68
2020-03-20	70
2020-03-21	111
2020-03-22	98
2020-03-23	115
2020-03-24	152
2020-03-25	150
2020-03-26	170
2020-03-27	168
2020-03-28	249
2020-03-29	224
2020-03-30	193
2020-03-31	256
2020-04-01	243
2020-04-02	392
2020-04-03	437
2020-04-04	244
2020-04-05	475
2020-04-06	311
2020-04-07	435
2020-04-08	357
2020-04-09	370
2020-04-10	380
2020-04-11	401
2020-04-12	318
2020-04-13	260
2020-04-14	268
2020-04-15	380
2020-04-16	336
2020-04-17	461
2020-04-18	363
2020-04-19	545
2020-04-20	306
2020-04-21	263
2020-04-22	313
2020-04-23	342
2020-04-24	381
2020-04-25	381
2020-04-26	344
2020-04-27	285
2020-04-28	316
2020-04-29	422
2020-04-30	237
2020-05-01	228
2020-05-02	270
2020-05-03	318
2020-05-04	313
2020-05-05	425
2020-05-06	309
2020-05-07	307
2020-05-08	319
2020-05-09	285
2020-05-10	345
2020-05-11	330
2020-05-12	595
2020-05-13	283
2020-05-14	411
2020-05-15	401
2020-05-16	241
2020-05-17	272
2020-05-18	356
2020-05-19	383
2020-05-20	471
2020-05-21	404
2020-05-22	476
2020-05-23	312
2020-05-24	395
2020-05-25	305
2020-05-26	443
2020-05-27	399
2020-05-28	352
2020-05-29	330
2020-05-30	416
2020-05-31	215
2020-06-01	379
2020-06-02	230
2020-06-03	292
2020-06-04	361
2020-06-05	362
2020-06-06	576
2020-06-07	575
2020-06-08	599
2020-06-09	400
2020-06-10	282
2020-06-11	359
2020-06-12	376
2020-06-13	440
2020-06-14	375
2020-06-15	396
