2020-02-15	0
2020-02-16	0
2020-02-17	0
2020-02-18	0
2020-02-19	0
2020-02-20	0
2020-02-21	0
2020-02-22	0
2020-02-23	0
2020-02-24	0
2020-02-25	0
2020-02-26	0
2020-02-27	0
2020-02-28	0
2020-02-29	0
2020-03-01	0
2020-03-02	0
2020-03-03	0
2020-03-04	0
2020-03-05	0
2020-03-06	0
2020-03-07	0
2020-03-08	0
2020-03-09	0
2020-03-10	0
2020-03-11	0
2020-03-12	0
2020-03-13	0
2020-03-14	0
2020-03-15	0
2020-03-16	0
2020-03-17	0
2020-03-18	2
2020-03-19	2
2020-03-20	2
2020-03-21	4
2020-03-22	4
2020-03-23	8
2020-03-24	10
2020-03-25	14
2020-03-26	14
2020-03-27	15
2020-03-28	15
2020-03-29	15
2020-03-30	15
2020-03-31	16
2020-04-01	16
2020-04-02	18
2020-04-03	18
2020-04-04	17
2020-04-05	18
2020-04-06	18
2020-04-07	18
2020-04-08	18
2020-04-09	18
2020-04-10	18
2020-04-11	18
2020-04-12	18
2020-04-13	18
2020-04-14	18
2020-04-15	18
2020-04-16	18
2020-04-17	18
2020-04-18	18
2020-04-19	18
2020-04-20	18
2020-04-21	18
2020-04-22	18
2020-04-23	18
2020-04-24	18
2020-04-25	18
2020-04-26	18
2020-04-27	18
2020-04-28	18
2020-04-29	18
2020-04-30	18
2020-05-01	18
2020-05-02	18
2020-05-03	18
2020-05-04	18
2020-05-05	18
2020-05-06	18
2020-05-07	18
2020-05-08	18
2020-05-09	18
2020-05-10	18
2020-05-11	18
2020-05-12	18
2020-05-13	18
2020-05-14	18
2020-05-15	18
2020-05-16	18
2020-05-17	18
2020-05-18	18
2020-05-19	18
2020-05-20	18
2020-05-21	18
2020-05-22	18
2020-05-23	18
2020-05-24	18
2020-05-25	18
2020-05-26	18
2020-05-27	18
2020-05-28	19
2020-05-29	19
2020-05-30	19
2020-05-31	19
2020-06-01	20
2020-06-02	20
2020-06-03	20
2020-06-04	20
2020-06-05	20
2020-06-06	20
2020-06-07	20
2020-06-08	20
2020-06-09	21
2020-06-10	21
2020-06-11	21
2020-06-12	21
2020-06-13	21
2020-06-14	21
2020-06-15	21
